fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,0,-9,0,[],0,0,[],-9
2023-02-07,0,-9,0,[],0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,38.2,2427.5,6,2023-2-17-0-0-0-0-50620.984538_2023-2-17-14-6-17-979538-798.0_2023-2-17-14-31-16-979538-3.0000007152557373_2023-2-17-15-40-30-979539-369.9999990463257_2023-2-17-16-14-12-979538-1565.0_2023-2-17-16-52-46-979538-2.0_,0,0,[],80.0
2023-02-18,100,-6384.8,0,[],1,0,[],35.0
2023-02-19,100,-7848.4,0,[],1,0,[],35.0
2023-02-20,100,-9665.2,0,[],1,0,[],35.0
2023-02-21,100,-9407.9,0,[],0,0,[],35.0
2023-02-22,100,-9034.3,0,[],0,0,[],35.0
2023-02-23,100,-8347.5,0,[],0,0,[],35.0
2023-02-24,100,-8575.4,0,[],0,0,[],35.0
2023-02-25,100,-7729.1,0,[],1,0,[],35.0
2023-02-26,100,-7239.2,0,[],1,0,[],35.0
2023-02-27,100,-7179.9,0,[],0,0,[],35.0
2023-02-28,100,-6951.9,0,[],0,0,[],35.0
2023-03-01,100,-6683.8,0,[],1,0,[],35.0
2023-03-02,100,-6601.4,0,[],1,0,[],35.0
2023-03-03,100,-7392.7,0,[],0,0,[],35.0
2023-03-04,100,-6812.9,0,[],0,0,[],35.0
2023-03-05,100,-6569.7,0,[],0,0,[],35.0
2023-03-06,100,-6576.7,0,[],0,0,[],35.0
2023-03-07,100,-6357.9,0,[],0,1,2023-3-7-1-33-29-829539_,35.0
2023-03-08,100,-5542.0,0,[],0,0,[],35.0
2023-03-09,100,-5115.3,0,[],0,0,[],35.0
2023-03-10,100,-4842.4,0,[],0,1,2023-3-10-9-19-57-204538_,35.0
2023-03-11,100,-5062.8,0,[],0,1,2023-3-11-22-41-50-719538_,35.0
2023-03-12,100,-5209.8,0,[],0,0,[],35.0
2023-03-13,100,-5220.9,0,[],0,0,[],35.0
2023-03-14,100,-5010.1,0,[],0,1,2023-3-14-5-7-51-539538_,35.0
2023-03-15,86.3,-3498.0,16,2023-3-15-14-32-25-979538-2479.0_2023-3-15-15-13-45-979538-1755.0_2023-3-15-15-43-2-979538-2522.9999980926514_2023-3-15-16-25-26-979536-217.0000021457672_2023-3-15-16-29-4-979538-492.0_2023-3-15-16-37-26-979538-8.000000715255737_2023-3-15-16-37-45-979539-97.99999904632568_2023-3-15-16-39-24-979538-18.0_2023-3-15-16-39-46-979538-119.0_2023-3-15-16-41-46-979538-183.0_2023-3-15-16-44-51-979538-17.0_2023-3-15-16-45-10-979538-2946.0_2023-3-15-17-34-38-979538-17.0_2023-3-15-17-35-0-979538-661.0_2023-3-15-17-46-5-979538-315.0_2023-3-15-17-51-30-979538-11.0_,0,0,[],35.0
2023-03-16,100,-3249.7,0,[],0,0,[],35.0
2023-03-17,100,-228.2,0,[],0,0,[],30.0
2023-03-18,100,-1923.6,0,[],0,1,2023-3-18-7-26-28-219538_,35.0
2023-03-19,100,-2088.5,0,[],0,0,[],35.0
2023-03-20,100,-2657.7,0,[],0,0,[],30.0
2023-03-21,100,-5082.0,0,[],0,0,[],35.0
2023-03-22,100,-4666.0,0,[],0,0,[],35.0
2023-03-23,100,-4642.2,0,[],0,0,[],35.0
2023-03-24,100,-4406.2,0,[],0,0,[],35.0
2023-03-25,100,-4135.9,0,[],0,0,[],35.0
2023-03-26,100,-2997.5,0,[],0,0,[],35.0
2023-03-27,100,-2301.7,0,[],1,1,2023-3-27-22-10-15-484538_,30.0
2023-03-28,100,-2620.6,0,[],2,0,[],35.0
2023-03-29,100,-1574.2,0,[],1,0,[],35.0
2023-03-30,100,-856.3,0,[],2,0,[],35.0
2023-03-31,100,-1357.8,0,[],0,0,[],35.0
2023-04-01,100,-1088.1,0,[],0,0,[],30.0
2023-04-02,100,-861.0,0,[],0,0,[],30.0
2023-04-03,100,-757.5,0,[],0,0,[],30.0
2023-04-04,100,-1988.4,0,[],0,0,[],35.0
2023-04-05,100,-1476.6,0,[],2,0,[],35.0
2023-04-06,100,-963.9,0,[],0,0,[],35.0
2023-04-07,100,696.9,0,[],0,1,2023-4-7-22-10-30-154538_,35.0
2023-04-08,100,1610.4,0,[],0,0,[],35.0
2023-04-09,100,808.0,0,[],0,0,[],30.0
2023-04-10,100,996.8,0,[],0,0,[],30.0
2023-04-11,100,1095.6,0,[],0,0,[],35.0
2023-04-12,100,1009.1,0,[],0,0,[],30.0
2023-04-13,100,1098.4,0,[],0,0,[],35.0
2023-04-14,100,1694.0,0,[],0,0,[],35.0
2023-04-15,100,1852.0,0,[],0,0,[],35.0
2023-04-16,100,2288.1,0,[],0,0,[],35.0
2023-04-17,100,3483.9,0,[],3,0,[],35.0
2023-04-18,100,4254.0,0,[],0,1,2023-4-18-2-26-30-54538_,30.0
2023-04-19,100,3678.8,0,[],3,1,2023-4-19-17-53-18-534538_,30.0
2023-04-20,100,4016.6,0,[],0,0,[],35.0
2023-04-21,100,4540.3,0,[],0,1,2023-4-21-20-54-54-549538_,35.0
2023-04-22,100,4826.6,0,[],0,0,[],35.0
2023-04-23,100,5385.3,0,[],0,0,[],30.0
2023-04-24,100,5552.4,0,[],0,1,2023-4-24-8-20-48-94538_,30.0
2023-04-25,100,5617.0,0,[],0,0,[],35.0
2023-04-26,100,5506.4,0,[],1,0,[],30.0
2023-04-27,100,5954.4,0,[],2,0,[],30.0
2023-04-28,100,6166.7,0,[],0,0,[],30.0
2023-04-29,100,6121.6,0,[],0,0,[],30.0
2023-04-30,100,6001.0,0,[],0,0,[],35.0
2023-05-01,100,6735.1,0,[],0,0,[],35.0
2023-05-02,100,7294.1,0,[],0,1,2023-5-2-13-56-3-219538_,30.0
2023-05-03,100,7062.9,0,[],0,1,2023-5-3-2-13-23-894538_,30.0
2023-05-04,100,7125.3,0,[],0,0,[],30.0
2023-05-05,100,7393.5,0,[],0,0,[],30.0
2023-05-06,100,7451.0,0,[],0,1,2023-5-6-1-49-15-269538_,30.0
2023-05-07,100,8016.3,0,[],0,1,2023-5-7-15-25-45-594538_,30.0
2023-05-08,100,8240.0,0,[],0,0,[],30.0
2023-05-09,100,8478.6,0,[],0,0,[],35.0
2023-05-10,100,9139.8,0,[],0,0,[],40.0
2023-05-11,100,11165.9,0,[],1,0,[],35.0
2023-05-12,100,11778.4,0,[],0,0,[],30.0
2023-05-13,100,11047.0,0,[],0,1,2023-5-13-13-2-46-674538_,30.0
2023-05-14,100,11155.2,0,[],0,1,2023-5-14-16-44-22-639538_,30.0
2023-05-15,100,11411.1,0,[],0,0,[],35.0
2023-05-16,100,11688.5,0,[],0,2,2023-5-16-19-3-13-514538_2023-5-16-19-41-17-714538_,35.0
2023-05-17,100,-10960.9,0,[],0,0,[],35.0
2023-05-18,100,-19868.0,0,[],0,0,[],35.0
2023-05-19,100,-5181.1,0,[],0,0,[],35.0
2023-05-20,100,8984.7,0,[],0,0,[],35.0
2023-05-21,100,19281.2,0,[],0,0,[],40.0
2023-05-22,100,24691.5,0,[],0,0,[],35.0
2023-05-23,100,27624.5,0,[],0,0,[],35.0
2023-05-24,100,31267.1,0,[],0,0,[],35.0
2023-05-25,100,32727.8,0,[],0,1,2023-5-25-3-6-33-204538_,35.0
2023-05-26,100,34746.7,0,[],0,0,[],35.0
2023-05-27,100,36005.8,0,[],0,0,[],35.0
2023-05-28,100,38194.5,0,[],0,1,2023-5-28-15-47-10-579538_,35.0
2023-05-29,100,37862.6,0,[],1,0,[],35.0
2023-05-30,100,40096.2,0,[],0,0,[],35.0
2023-05-31,100,40205.8,0,[],0,1,2023-5-31-13-39-9-824538_,35.0
2023-06-01,3.5,40280.0,1,2023-6-1-0-51-0-979538-83339.020462_,0,0,[],-9
2023-06-02,0,-9,0,[],0,0,[],-9
2023-06-03,0,-9,0,[],0,0,[],-9
2023-06-04,0,-9,0,[],0,0,[],-9
2023-06-05,0,-9,0,[],0,0,[],-9
2023-06-06,0,-9,0,[],0,0,[],-9
2023-06-07,0,-9,0,[],0,0,[],-9
2023-06-08,0,-9,0,[],0,0,[],-9
2023-06-09,0,-9,0,[],0,0,[],-9
2023-06-10,0,-9,0,[],0,0,[],-9
2023-06-11,0,-9,0,[],0,0,[],-9
2023-06-12,0,-9,0,[],0,0,[],-9
2023-06-13,32.4,43649.6,2,2023-6-13-0-0-0-0-58401.984538_2023-6-13-16-25-16-979538-3.0_,0,0,[],40.0
2023-06-14,100,47999.3,0,[],0,0,[],35.0
2023-06-15,100,49056.6,0,[],0,0,[],35.0
2023-06-16,100,48287.7,0,[],1,0,[],35.0
2023-06-17,100.0,50859.6,1,2023-6-17-0-0-0-0-1.349538_,0,0,[],35.0
2023-06-18,100,50518.7,0,[],0,0,[],35.0
2023-06-19,100,46837.1,0,[],0,0,[],35.0
2023-06-20,100,43932.4,0,[],0,0,[],35.0
2023-06-21,100,44548.8,0,[],2,0,[],35.0
2023-06-22,100,47562.4,0,[],4,0,[],35.0
2023-06-23,100,50651.6,0,[],0,0,[],35.0
2023-06-24,99.6,51109.7,1,2023-6-24-18-44-40-979538-336.0_,0,0,[],30.0
2023-06-25,100,50822.0,0,[],0,0,[],30.0
2023-06-26,100,51212.9,0,[],0,0,[],35.0
2023-06-27,100,49157.1,0,[],0,1,2023-6-27-10-57-15-264538_,30.0
2023-06-28,100,50088.2,0,[],0,0,[],30.0
2023-06-29,100.0,49023.8,1,2023-6-29-0-0-0-0-1.924538_,0,0,[],30.0
2023-06-30,100.0,48588.6,1,2023-6-30-0-0-0-0-0.179538_,0,0,[],30.0
2023-07-01,100.0,48192.3,1,2023-7-1-0-0-0-0-0.764538_,0,0,[],30.0
2023-07-02,100,51151.4,0,[],0,0,[],30.0
2023-07-03,100,49163.3,0,[],0,0,[],30.0
2023-07-04,100,49528.0,0,[],0,0,[],30.0
2023-07-05,100.0,50074.8,1,2023-7-5-0-0-0-0-1.179538_,0,0,[],30.0
2023-07-06,100.0,49459.4,1,2023-7-6-0-0-0-0-2.074536_,0,0,[],30.0
2023-07-07,100.0,49077.0,1,2023-7-7-0-0-0-0-1.614538_,0,0,[],30.0
2023-07-08,100,49439.9,0,[],0,0,[],30.0
2023-07-09,100,49834.2,0,[],0,0,[],30.0
2023-07-10,100,48173.5,0,[],0,0,[],30.0
2023-07-11,100.0,49442.6,1,2023-7-11-0-0-0-0-2.034538_,0,0,[],30.0
2023-07-12,100,52270.5,0,[],2,0,[],35.0
2023-07-13,100.0,49721.4,1,2023-7-13-0-0-0-0-0.909538_,4,0,[],30.0
2023-07-14,100,49716.0,0,[],1,0,[],35.0
2023-07-15,100,49176.4,0,[],0,0,[],30.0
2023-07-16,100,49269.6,0,[],0,0,[],30.0
2023-07-17,100.0,49049.2,1,2023-7-17-0-0-0-0-1.034538_,0,0,[],30.0
2023-07-18,100,48960.5,0,[],0,0,[],30.0
2023-07-19,100.0,46643.1,1,2023-7-19-0-0-0-0-0.229536_,0,0,[],30.0
2023-07-20,100,42606.5,0,[],0,0,[],30.0
2023-07-21,100,42066.6,0,[],0,0,[],30.0
2023-07-22,99.6,45818.0,1,2023-7-22-11-40-0-979538-333.0_,0,0,[],30.0
2023-07-23,100,46595.6,0,[],0,0,[],30.0
2023-07-24,100.0,44360.5,1,2023-7-24-0-0-0-0-1.199538_,2,0,[],30.0
2023-07-26,100.0,46202.4,1,2023-7-26-0-0-0-0-1.269538_,0,0,[],30.0
2023-07-27,100.0,47074.3,1,2023-7-27-0-0-1-79538-0.96_,1,0,[],35.0
2023-07-28,100,45934.1,0,[],0,0,[],30.0
2023-07-29,100,42613.7,0,[],0,0,[],30.0
2023-07-30,100,42747.7,0,[],0,0,[],30.0
2023-07-31,100,48004.9,0,[],0,0,[],35.0
2023-08-01,100.0,46742.3,1,2023-8-1-0-0-0-0-1.309538_,0,0,[],30.0
2023-08-02,100.0,45497.3,1,2023-8-2-0-0-0-0-0.504538_,0,0,[],30.0
2023-08-03,100.0,46037.1,1,2023-8-3-0-0-0-0-0.104538_,0,0,[],35.0
2023-08-04,100.0,44373.3,1,2023-8-4-0-0-0-0-2.004538_,2,0,[],30.0
2023-08-05,100,43685.2,0,[],2,0,[],30.0
2023-08-06,100,45102.0,0,[],0,0,[],30.0
2023-08-07,100,45424.0,0,[],0,0,[],30.0
2023-08-08,100.0,44737.5,1,2023-8-8-0-0-0-0-1.514538_,0,0,[],30.0
2023-08-09,100.0,44963.6,1,2023-8-9-0-0-0-0-0.724538_,1,0,[],30.0
2023-08-10,100.0,44245.2,1,2023-8-10-0-0-0-0-0.109536_,0,0,[],30.0
2023-08-11,99.6,44062.1,2,2023-8-11-0-0-0-0-1.004538_2023-8-11-18-49-46-979538-332.0_,0,0,[],35.0
2023-08-12,100,45344.9,0,[],0,0,[],30.0
2023-08-13,100,45832.6,0,[],0,0,[],30.0
2023-08-14,100.0,45361.9,1,2023-8-14-0-0-0-0-1.474538_,0,1,2023-8-14-15-55-27-474538_,30.0
